,Unnamed: 0,gcn,med_id,gcn_seqno,pharmacy_network_id,pharmacy_network_name,in_consideration,in_consideration_reason,fills,margin,orders,revenue,users,gcn_gppd,hicl_desc,brand_med_name,strength,form,default_quantity,blink_hicl_rank,top_30ds_quantity,top_90ds_quantity,edlp_unit_price,bsd_unit_price,hd_unit_price,edlp_fixed_price,bsd_fixed_price,hd_fixed_price,bh01_mac_price,bh02_mac_price,bh03_mac_price,wmt_mac_price,hd_syr_mac_price,bh01_dispensing_fee,bh02_dispensing_fee,bh03_dispensing_fee,wmt_dispensing_fee,hd_syr_dispensing_fee,wmt_2018_11_28_qty1,wmt_2018_11_28_qty2,wmt_2018_11_28_price1,wmt_2018_11_28_price2,wmt_2018_11_28_flg,last_30ds_qty,last_90ds_qty,min_grx_30ds,min_grx_90ds,min_major_retail_grx_30ds,min_major_retail_grx_90ds,min_retail_grx_30ds,min_retail_grx_90ds,last_30ds_qty_scrape_date,ltd_30_day_scripts,ltd_90_day_scripts,ltd_30_day_scripts_pct,ltd_90_day_scripts_pct,r30_30_day_scripts,r30_90_day_scripts,r30_30_day_script_pct,r30_90_day_script_pct,output_unit_price,output_fixed_price,output_current_def_qty_price,output_new_def_qty_price,output_comment
0,0,23162,471239,57892,1,blink,True,,445,-391.92259,445,8029.667409999999,311,23162.0,duloxetine hcl,Cymbalta,30 MG,CAPSULE DR,30.0,6.0,30.0,90.0,0.25,0.25,0.23333299999999998,1.4,1.4,0.99,0.22415,0.21436999999999998,0.18600000000000003,0.46338,0.15084,1.0,1.0,1.0,1.0,1.5,30.0,90.0,9.0,24.0,1.0,30.0,90.0,12.7,21.85,15.0,38.0,15.0,38.0,2019-12-24,20394.0,3000.0,0.8717619902539109,0.128238009746089,327.0,95.0,0.774881516587678,0.774881516587678,0.25,1.5,8.9,9.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
1,1,15738,556806,64594,2,supersaver,True,,3,-428.77167000000003,3,312.10832999999997,2,15738.0,ropinirole hcl,Requip XL,12 MG,TAB ER 24H,30.0,87.0,30.0,90.0,8.556687,2.073305,7.796667,1.504804,0.37086199999999997,12.3,5.14166,4.91228,4.26001,10.57479,3.44231,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,76.12,212.36,76.12,212.36,76.12,212.36,2019-12-24,6.0,2.0,0.75,0.25,0.0,0.0,0.0,0.0,5.14166,1.0,62.570012,155.2498,NON-WMT Drug; Margin -VE; Raising to MAC Prices
2,2,35744,173420,8350,1,blink,True,,267,-362.54046,267,2710.24954,226,35744.0,ibuprofen,Motrin,800 MG,TABLET,30.0,69.0,90.0,270.0,0.12975,0.082634,0.098333,1.607515,1.242901,2.85,0.14579,0.13669,0.11735,0.27114,0.08826,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,8494.0,304.0,0.9654466924300981,0.0345533075699022,203.0,11.0,0.9485981308411221,0.9485981308411221,0.17773550000000002,1.0,5.500015,6.332065000000001,NON-WMT Drug; Margin -VE; Raising to MAC Prices
3,3,35744,173420,8350,2,supersaver,True,,115,-560.7389400000001,115,867.55106,99,35744.0,ibuprofen,Motrin,800 MG,TABLET,30.0,69.0,90.0,270.0,0.12975,0.082634,0.098333,1.607515,1.242901,2.85,0.14579,0.13669,0.11735,0.27114,0.08826,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,8494.0,304.0,0.9654466924300981,0.0345533075699022,203.0,11.0,0.9485981308411221,0.9485981308411221,0.14579,1.0,3.721921,5.3737,NON-WMT Drug; Margin -VE; Raising to MAC Prices
4,4,32481,284012,11984,2,supersaver,True,,7,-312.46469,7,122.59531000000001,5,32481.0,guanfacine hcl,Tenex,2 MG,TABLET,30.0,157.0,30.0,135.0,0.300126,0.255849,,1.886216,1.614426,,1.06714,1.02336,0.8892200000000001,2.23698,0.72818,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,206.0,27.0,0.8841201716738201,0.11587982832618,8.0,2.0,0.8,0.8,1.06714,1.0,9.289895999999999,33.0142,NON-WMT Drug; Margin -VE; Raising to MAC Prices
5,5,32481,284012,11984,1,blink,True,,17,-566.22921,17,234.65079,9,32481.0,guanfacine hcl,Tenex,2 MG,TABLET,30.0,157.0,30.0,135.0,0.300126,0.255849,,1.886216,1.614426,,1.06714,1.02336,0.8892200000000001,2.23698,0.72818,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,206.0,27.0,0.8841201716738201,0.11587982832618,8.0,2.0,0.8,0.8,1.3836725,1.0,10.889996,42.510175000000004,NON-WMT Drug; Margin -VE; Raising to MAC Prices
6,6,39802,237854,9043,1,blink,True,,158,-305.2474,158,1080.7726,155,39802.0,cephalexin,Keflex,500 MG,CAPSULE,40.0,85.0,30.0,90.0,0.243106,0.094042,,0.025671,0.828335,,0.20506999999999997,0.18464,0.15547,0.4074,0.0858,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,7815.0,31.0,0.99604894213612,0.00395105786387968,153.0,0.0,1.0,1.0,0.25555675,1.0,9.749911,11.22227,NON-WMT Drug; Margin -VE; Raising to MAC Prices
7,7,39802,180704,9043,1,blink,True,,223,-485.55667,223,1415.25333,215,39802.0,cephalexin,Keflex,500 MG,CAPSULE,40.0,85.0,30.0,90.0,0.243106,0.094042,,0.025671,0.828335,,0.20506999999999997,0.18464,0.15547,0.4074,0.0858,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,7815.0,31.0,0.99604894213612,0.00395105786387968,153.0,0.0,1.0,1.0,0.25555675,1.0,9.749911,11.22227,NON-WMT Drug; Margin -VE; Raising to MAC Prices
8,8,23832,247613,40911,1,blink,True,,111,-692.235,111,3214.325,74,23832.0,telmisartan,Micardis,80 MG,TABLET,30.0,151.0,30.0,90.0,0.445,0.445,,7.65,7.65,,0.56771,0.5431,0.47131999999999996,1.17553,0.38266,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,20.77,45.52,35.17,70.98,35.17,70.98,2019-12-24,1307.0,482.0,0.7305757406372281,0.269424259362772,36.0,16.0,0.6923076923076921,0.6923076923076921,0.731342,1.0,21.0,22.940260000000002,NON-WMT Drug; Margin -VE; Raising to MAC Prices
9,9,39182,586784,74511,1,blink,True,,1,-640.3614,1,476.1586,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-WMT Drug; Margin -VE; Raising to MAC Prices
10,10,92121,239455,44210,2,supersaver,True,,45,-312.08055,45,983.46945,25,92121.0,buspirone hcl,BuSpar,30 MG,TABLET,60.0,70.0,60.0,180.0,0.84019,0.267395,0.419167,2.933675,1.1763270000000001,3.05,0.32725,0.31378,0.27263000000000004,0.68552,0.22315,1.0,1.0,1.0,1.0,1.5,,,,,,60.0,180.0,31.63,65.34,32.45,65.34,32.45,65.34,2019-12-24,1133.0,90.0,0.926410466067048,0.0735895339329518,37.0,4.0,0.902439024390244,0.902439024390244,0.32725,1.0,17.220027,20.634999999999998,NON-WMT Drug; Margin -VE; Raising to MAC Prices
11,11,45062,195418,21140,1,blink,True,,73,-1151.39874,73,1075.05126,52,45062.0,bisoprolol/hydrochlorothiazide,Ziac,5-6.25MG,TABLET,30.0,177.0,30.0,90.0,0.200596,0.113602,,2.482127,0.341945,,0.5263100000000001,0.5029100000000001,0.43617,1.08331,0.35264,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,4.0,10.0,12.33,36.4,12.33,36.4,2019-12-24,628.0,533.0,0.5409130060292849,0.459086993970715,24.0,24.0,0.5,0.5,0.6758804999999999,1.0,8.500007,21.276414999999997,NON-WMT Drug; Margin -VE; Raising to MAC Prices
12,12,45062,187815,21140,2,supersaver,True,,10,-313.69931,10,71.58069,6,45062.0,bisoprolol/hydrochlorothiazide,Ziac,5-6.25MG,TABLET,30.0,177.0,30.0,90.0,0.200596,0.113602,,2.482127,0.341945,,0.5263100000000001,0.5029100000000001,0.43617,1.08331,0.35264,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,4.0,10.0,12.33,36.4,12.33,36.4,2019-12-24,628.0,533.0,0.5409130060292849,0.459086993970715,24.0,24.0,0.5,0.5,0.5263100000000001,1.0,3.750005,16.7893,NON-WMT Drug; Margin -VE; Raising to MAC Prices
13,13,45062,195418,21140,2,supersaver,True,,29,-1167.84087,29,271.76912999999996,24,45062.0,bisoprolol/hydrochlorothiazide,Ziac,5-6.25MG,TABLET,30.0,177.0,30.0,90.0,0.200596,0.113602,,2.482127,0.341945,,0.5263100000000001,0.5029100000000001,0.43617,1.08331,0.35264,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,4.0,10.0,12.33,36.4,12.33,36.4,2019-12-24,628.0,533.0,0.5409130060292849,0.459086993970715,24.0,24.0,0.5,0.5,0.5263100000000001,1.0,3.750005,16.7893,NON-WMT Drug; Margin -VE; Raising to MAC Prices
14,14,43722,154892,29969,1,blink,True,,1025,-807.98644,1025,15771.71356,839,43722.0,atorvastatin calcium,Lipitor,40 MG,TABLET,30.0,3.0,30.0,90.0,0.183333,0.131,0.14166700000000002,3.4,4.06,2.74,0.14904,0.14192000000000002,0.12286,0.3013,0.09808,1.0,1.0,1.0,1.0,1.5,30.0,90.0,9.0,24.0,1.0,30.0,90.0,8.25,20.0,15.0,38.0,15.0,38.0,2019-12-24,22233.0,15401.0,0.590768985491843,0.40923101450815796,415.0,481.0,0.4631696428571429,0.4631696428571429,0.25,1.5,8.899989999999999,9.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
15,15,14853,286047,38686,1,blink,True,,1303,-4899.78705,1303,9736.20295,1039,14853.0,losartan potassium,Cozaar,100 MG,TABLET,30.0,12.0,30.0,90.0,0.1,0.080493,0.08833300000000001,0.9,1.205015,2.15,0.15305,0.14562,0.12600999999999998,0.2454,0.10029,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,6.43,13.28,9.0,24.0,9.0,24.0,2019-12-24,18370.0,13093.0,0.5838604074627339,0.416139592537266,342.0,437.0,0.43902439024390205,0.43902439024390205,0.1,1.0,3.9,4.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
16,16,14853,286047,38686,2,supersaver,True,,402,-1041.73499,402,2732.18501,328,14853.0,losartan potassium,Cozaar,100 MG,TABLET,30.0,12.0,30.0,90.0,0.1,0.080493,0.08833300000000001,0.9,1.205015,2.15,0.15305,0.14562,0.12600999999999998,0.2454,0.10029,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,6.43,13.28,9.0,24.0,9.0,24.0,2019-12-24,18370.0,13093.0,0.5838604074627339,0.416139592537266,342.0,437.0,0.43902439024390205,0.43902439024390205,0.1,1.0,3.619805,4.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
17,17,40410,181611,9226,1,blink,True,,46,-475.11287999999996,46,1614.58712,32,40410.0,minocycline hcl,Minocin,100 MG,CAPSULE,60.0,149.0,60.0,90.0,0.6947180000000001,0.458084,0.625833,1.602234,1.0649680000000001,2.95,0.6279844961240311,0.5760555555555561,0.5190740740740739,1.24045126353791,0.41186111111111107,1.0,1.0,1.0,1.0,1.5,,,,,,60.0,90.0,34.91,48.16,43.71,55.45,43.71,55.45,2019-12-24,2334.0,167.0,0.9332267093162729,0.0667732906837265,30.0,5.0,0.857142857142857,0.857142857142857,0.7887705319468166,1.0,43.28531400000001,48.32623191680899,NON-WMT Drug; Margin -VE; Raising to MAC Prices
18,18,40410,181611,9226,2,supersaver,True,,37,-433.32752,37,969.7724800000001,25,40410.0,minocycline hcl,Minocin,100 MG,CAPSULE,60.0,149.0,60.0,90.0,0.6947180000000001,0.458084,0.625833,1.602234,1.0649680000000001,2.95,0.6279844961240311,0.5760555555555561,0.5190740740740739,1.24045126353791,0.41186111111111107,1.0,1.0,1.0,1.0,1.5,,,,,,60.0,90.0,34.91,48.16,43.71,55.45,43.71,55.45,2019-12-24,2334.0,167.0,0.9332267093162729,0.0667732906837265,30.0,5.0,0.857142857142857,0.857142857142857,0.6279844961240311,1.0,28.550008,38.67906976744187,NON-WMT Drug; Margin -VE; Raising to MAC Prices
19,19,26325,266937,6656,2,supersaver,False,Last Started Date : 2019-12-12,42,-1460.97855,42,364.58145,34,26325.0,levothyroxine sodium,Synthroid,200 MCG,TABLET,30.0,29.0,30.0,90.0,0.734904,0.42667,0.69,1.9383709999999998,0.67992,2.9,0.68615,0.65654,0.5698300000000001,0.10332999999999999,0.46298999999999996,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,4.0,10.0,4.0,10.0,4.0,10.0,2019-12-24,677.0,356.0,0.655372700871249,0.344627299128751,15.0,6.0,0.7142857142857142,0.7142857142857142,0.42667,0.67992,13.48002,13.48002,No Change
20,20,26320,296237,6652,2,supersaver,False,Last Started Date : 2019-12-12,119,-3669.09125,119,1198.06875,93,26320.0,levothyroxine sodium,Synthroid,112 MCG,TABLET,90.0,29.0,30.0,90.0,0.650205,0.38008000000000003,0.606667,1.6963380000000001,0.6725,3.0,0.60155,0.57421,0.49773,0.10332999999999999,0.4009,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,4.0,10.0,4.0,10.0,4.0,10.0,2019-12-24,1106.0,856.0,0.563710499490316,0.43628950050968396,25.0,30.0,0.45454545454545503,0.45454545454545503,0.38008000000000003,0.6725,34.8797,34.8797,No Change
21,21,26320,270806,6652,2,supersaver,False,Last Started Date : 2019-12-12,10,-383.11415,10,116.88585,9,26320.0,levothyroxine sodium,Synthroid,112 MCG,TABLET,90.0,29.0,30.0,90.0,0.650205,0.38008000000000003,0.606667,1.6963380000000001,0.6725,3.0,0.60155,0.57421,0.49773,0.10332999999999999,0.4009,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,4.0,10.0,4.0,10.0,4.0,10.0,2019-12-24,1106.0,856.0,0.563710499490316,0.43628950050968396,25.0,30.0,0.45454545454545503,0.45454545454545503,0.38008000000000003,0.6725,34.8797,34.8797,No Change
22,22,10770,225034,3204,2,supersaver,False,Last Started Date : 2019-12-20,77,-313.6312,77,636.6188,57,10770.0,estradiol,Estrace,1 MG,TABLET,30.0,81.0,30.0,90.0,0.1825,0.1451,0.0938,1.094,1.2975,3.3848,0.15362,0.14535,0.1254,0.30029,0.09775,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,3.98,10.0,6.24,17.47,6.24,17.47,2019-12-24,2483.0,1251.0,0.6649705409748261,0.335029459025174,63.0,52.0,0.547826086956522,0.547826086956522,0.1451,1.2975,5.6505,5.6505,No Change
23,23,16393,239308,46243,2,supersaver,True,,70,-469.43719000000004,70,501.52280999999994,47,16393.0,trazodone hcl,Desyrel,150 MG,TABLET,30.0,41.0,30.0,90.0,0.1,0.09798899999999999,0.0875,0.9,0.760332,0.875,0.20814000000000002,0.19916,0.17285999999999999,0.10332999999999999,0.14045,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,4.0,10.0,4.0,10.0,4.0,10.0,2019-12-24,2581.0,670.0,0.7939095662872959,0.206090433712704,61.0,31.0,0.66304347826087,0.66304347826087,0.1,1.0,3.7000019999999996,4.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
24,24,16393,239308,46243,1,blink,True,,135,-340.98,135,825.0,93,16393.0,trazodone hcl,Desyrel,150 MG,TABLET,30.0,41.0,30.0,90.0,0.1,0.09798899999999999,0.0875,0.9,0.760332,0.875,0.20814000000000002,0.19916,0.17285999999999999,0.10332999999999999,0.14045,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,4.0,10.0,4.0,10.0,4.0,10.0,2019-12-24,2581.0,670.0,0.7939095662872959,0.206090433712704,61.0,31.0,0.66304347826087,0.66304347826087,0.1,1.0,3.9,4.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
25,25,47125,229173,22650,1,blink,True,,37,-470.11332999999996,37,657.11667,26,47125.0,terazosin hcl,Hytrin,2 MG,CAPSULE,90.0,163.0,30.0,90.0,0.17158199999999998,0.08666,,2.3175310000000002,1.190192,,0.21718,0.20801999999999998,0.18065,0.45257,0.14732,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,10.83,21.21,10.83,29.54,10.83,29.54,2019-12-24,328.0,345.0,0.487369985141159,0.512630014858841,5.0,7.0,0.4166666666666671,0.4166666666666671,0.28071725,1.0,17.759911,26.264552499999997,NON-WMT Drug; Margin -VE; Raising to MAC Prices
26,26,47125,229173,22650,2,supersaver,True,,21,-344.77381,21,256.37619,21,47125.0,terazosin hcl,Hytrin,2 MG,CAPSULE,90.0,163.0,30.0,90.0,0.17158199999999998,0.08666,,2.3175310000000002,1.190192,,0.21718,0.20801999999999998,0.18065,0.45257,0.14732,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,10.83,21.21,10.83,29.54,10.83,29.54,2019-12-24,328.0,345.0,0.487369985141159,0.512630014858841,5.0,7.0,0.4166666666666671,0.4166666666666671,0.21718,1.0,8.989592,20.546200000000002,NON-WMT Drug; Margin -VE; Raising to MAC Prices
27,27,16513,288365,46044,2,supersaver,True,,86,-2839.88528,86,1223.8147199999999,60,16513.0,amitriptyline hcl,Elavil,100 MG,TABLET,30.0,93.0,30.0,90.0,1.474421,0.505,0.82,2.405879,4.8,3.0,0.6973699999999999,0.66852,0.5807899999999999,1.4592399999999999,0.47501000000000004,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,21.0,57.0,21.0,57.0,21.0,57.0,2019-12-24,633.0,247.0,0.719318181818182,0.280681818181818,22.0,7.0,0.7586206896551719,0.7586206896551719,0.6973699999999999,1.0,19.95,21.9211,NON-WMT Drug; Margin -VE; Raising to MAC Prices
28,28,16513,217519,46044,2,supersaver,True,,18,-434.51313,18,172.84687,12,16513.0,amitriptyline hcl,Elavil,100 MG,TABLET,30.0,93.0,30.0,90.0,1.474421,0.505,0.82,2.405879,4.8,3.0,0.6973699999999999,0.66852,0.5807899999999999,1.4592399999999999,0.47501000000000004,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,21.0,57.0,21.0,57.0,21.0,57.0,2019-12-24,633.0,247.0,0.719318181818182,0.280681818181818,22.0,7.0,0.7586206896551719,0.7586206896551719,0.6973699999999999,1.0,19.95,21.9211,NON-WMT Drug; Margin -VE; Raising to MAC Prices
29,29,26532,187634,16577,1,blink,True,,135,-377.54,135,1063.0,112,26532.0,simvastatin,Zocor,10 MG,TABLET,90.0,24.0,30.0,90.0,0.1,0.084833,0.0875,0.9,1.355,0.875,0.08731,0.07912000000000001,0.06665,0.21899999999999997,0.04303,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,3.98,9.98,9.0,24.0,9.0,24.0,2019-12-24,2472.0,2350.0,0.5126503525508089,0.48734964744919107,41.0,59.0,0.41,0.41,0.1,1.0,9.9,10.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
30,30,32821,280037,7856,2,supersaver,True,,82,-529.89835,82,449.49165,65,32821.0,timolol maleate,Timoptic,0.5 %,DROPS,1.0,193.0,5.0,15.0,1.729502,0.48863500000000004,,1.858898,0.535665,,1.12998,1.06913,0.9224,2.2088400000000004,0.71902,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,1387.0,303.0,0.820710059171598,0.17928994082840197,51.0,10.0,0.8360655737704921,0.8360655737704921,1.12998,1.0,1.0243,2.1299799999999998,NON-WMT Drug; Margin -VE; Raising to MAC Prices
31,31,4750,291935,34469,2,supersaver,True,,30,-385.61066,30,652.3793400000001,26,4750.0,irbesartan,Avapro,300 MG,TABLET,30.0,123.0,30.0,90.0,0.453916,0.271978,0.296667,2.7446080000000004,1.9006490000000003,2.8,0.44011999999999996,0.42178000000000004,0.36637,0.9194700000000001,0.29930999999999996,1.0,1.0,1.0,1.0,1.5,30.0,90.0,9.0,24.0,1.0,30.0,90.0,9.0,21.93,9.0,24.0,9.0,24.0,2019-12-24,1457.0,1056.0,0.579785117389574,0.420214882610426,13.0,26.0,0.33333333333333304,0.33333333333333304,0.44012,-4.000000000000002,10.059989,9.203599999999998,"WMT 4/10|9/24 Drug; Dropping to MAC - 5 , MAC - WMT > 5"
32,32,63821,213587,17956,2,supersaver,True,,36,-944.9721400000001,36,707.17786,28,63821.0,bisoprolol fumarate,Zebeta,5 MG,TABLET,30.0,199.0,30.0,90.0,0.676597,0.253985,,2.932481,1.1304370000000001,,0.62455,0.59795,0.51913,1.2984200000000001,0.42266000000000004,1.0,1.0,1.0,1.0,1.5,30.0,90.0,9.0,24.0,1.0,30.0,90.0,9.0,24.0,9.0,24.0,9.0,24.0,2019-12-24,784.0,384.0,0.6712328767123289,0.32876712328767105,13.0,13.0,0.5,0.5,0.25,1.5,8.749987,9.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
33,33,18011,212461,4680,2,supersaver,False,Last Started Date : 2019-12-07,86,-1238.92302,86,1246.26698,48,18011.0,baclofen,Lioresal,20 MG,TABLET,90.0,115.0,90.0,270.0,0.466054,0.25956999999999997,0.24111100000000002,3.0543259999999997,0.599,3.0,0.25445,0.24418,0.21225,0.53525,0.17423,1.0,1.0,1.0,1.0,1.5,,,,,,90.0,270.0,31.2,73.34,38.28,73.34,38.28,73.34,2019-12-24,1826.0,135.0,0.9311575726670072,0.0688424273329934,42.0,2.0,0.954545454545455,0.954545454545455,0.25956999999999997,0.599,23.960299999999997,23.960299999999997,No Change
34,34,70136,156210,4169,1,blink,True,,83,-302.01192000000003,83,2471.82808,43,70136.0,acetaminophen with codeine,Tylenol-Codeine #4,300MG-60MG,TABLET,120.0,89.0,90.0,,0.39760500000000004,,,2.279254,,,0.27247,0.26043,0.2259,0.5616300000000001,0.18282,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,1541.0,3.0,0.9980569948186531,0.00194300518134715,42.0,0.0,1.0,1.0,0.35016525000000004,1.0,49.991854000000004,43.019830000000006,NON-WMT Drug; Margin -VE; Raising to MAC Prices
35,35,47126,154750,22651,2,supersaver,True,,30,-303.09788,30,283.78212,22,47126.0,terazosin hcl,Hytrin,5 MG,CAPSULE,90.0,163.0,30.0,90.0,0.14093599999999998,0.097716,,1.815684,0.9255389999999999,,0.19119,0.1831,0.15897999999999998,0.39804,0.12957,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,8.45,16.35,11.76,31.29,11.76,31.29,2019-12-24,511.0,704.0,0.420576131687243,0.579423868312757,8.0,24.0,0.25,0.25,0.19119,1.0,9.719979,18.2071,NON-WMT Drug; Margin -VE; Raising to MAC Prices
